
1.8.1t	{Ἀρχιμήδης Δοσιθέῳ χαίρειν} 
1.19.12	περιγράψαι περὶ τὸν κύκλον πολύγωνον, ὥστε τὰ ἀπο-
1.19.13	λειφθέντα τμήματα μεταξὺ τοῦ κύκλου καὶ τοῦ πολυγώνου 
1.19.14	ἐλάσσονα εἶναι τοῦ Β χωρίου· καὶ γὰρ ὄντων δύο μεγεθῶν 
1.19.15	ἀνίσων, μείζονος μὲν συναμφοτέρου τοῦ τε χωρίου καὶ 
1.19.16	τοῦ κύκλου, ἐλάσσονος δὲ τοῦ κύκλου, περιγεγράφθω 
1.19.17	περὶ τὸν κύκλον πολύγωνον καὶ ἄλλο ἐγγεγράφθω, ὥστε 
1.19.18	τὸ περιγραφὲν πρὸς τὸ ἐγγραφὲν ἐλάσσονα λόγον ἔχειν  
1.20.1	ἢ τὸ εἰρημένον μεῖζον μέγεθος πρὸς τὸ ἔλασσον. Τοῦτο 
1.20.2	δὴ τὸ περιγραφόμενον πολύγωνόν ἐστιν, οὗ τὰ περιλείμ-
1.20.3	ματα ἔσται ἐλάσσονα τοῦ προτεθέντος χωρίου τοῦ Β. 
1.20.4	  Εἰ γὰρ τὸ περιγραφὲν πρὸς τὸ ἐγγραφὲν ἐλάσσονα 
1.20.5	λόγον ἔχει ἢ τὸ συναμφότερον ὅ τε κύκλος καὶ τὸ Β 
1.20.6	χωρίον πρὸς αὐτὸν τὸν κύκλον, τοῦ δὲ ἐγγραφομένου 
1.20.7	μείζων ὁ κύκλος, πολλῷ μᾶλλον τὸ περιγραφὲν πρὸς 
1.20.8	τὸν κύκλον ἐλάσσονα λόγον ἔχει ἢ τὸ συναμφότερον ὅ τε 
1.20.9	κύκλος καὶ τὸ Β χωρίον πρὸς αὐτὸν τὸν κύκλον· καὶ 
1.20.10	διελόντι ἄρα τὰ ἀπολείμματα τοῦ περιγεγραμμένου 
1.20.11	πολυγώνου πρὸς τὸν κύκλον ἐλάσσονα λόγον ἔχει ἤπερ 
1.20.12	τὸ Β χωρίον πρὸς τὸν κύκλον· ἐλάσσονα ἄρα τὰ ἀπολείμ-
1.20.13	ματα τοῦ περιγεγραμμένου πολυγώνου τοῦ Β χωρίου. 
1.20.14	Ἢ οὕτως· ἐπεὶ τὸ περιγραφὲν πρὸς τὸν κύκλον ἐλάσσονα 
1.20.15	λόγον ἔχει ἢ τὸ συναμφότερον ὅ τε κύκλος καὶ τὸ Β 
1.20.16	χωρίον πρὸς τὸν κύκλον, διὰ τοῦτο δὴ ἔλασσον ἔσται τὸ 
1.20.17	περιγραφὲν συναμφοτέρου· ὥστε καὶ ὅλα τὰ περιλείμματα 
1.20.18	ἐλάσσονα ἔσται τοῦ χωρίου τοῦ Β. 
1.20.19	  Ὁμοίως δὲ καὶ ἐπὶ τοῦ τομέως. 
1.20.20	    ζʹ. 
1.20.21	  Ἐὰν ἐν ἰσοσκελεῖ κώνῳ πυραμὶς ἐγγραφῇ ἰσόπλευρον 
1.20.22	ἔχουσα βάσιν, ἡ ἐπιφάνεια αὐτῆς χωρὶς τῆς βάσεως ἴση 
1.20.23	ἐστι τριγώνῳ βάσιν μὲν ἔχοντι ἴσην τῇ περιμέτρῳ τῆς 
1.20.24	βάσεως, ὕψος δὲ τὴν ἀπὸ τῆς κορυφῆς ἐπὶ μίαν πλευρὰν 
1.20.20	τῆς βάσεως κάθετον ἀγομένην. 
1.20.21	  Ἔστω κῶνος ἰσοσκελής, οὗ βάσις ὁ ΑΒΓ κύκλος, καὶ 
1.20.22	εἰς αὐτὸν ἐγγεγράφθω πυραμὶς ἰσόπλευρον ἔχουσα βάσιν 
1.20.23	τὸ ΑΒΓ· λέγω ὅτι ἡ ἐπιφάνεια αὐτῆς χωρὶς τῆς βάσεως 
1.20.24	ἴση ἐστὶ τῷ εἰρημένῳ τριγώνῳ.   
1.21.1	  Ἐπεὶ γὰρ ἰσοσκελὴς ὁ κῶνος, καὶ ἰσόπλευρος ἡ βάσις 
1.21.2	τῆς πυραμίδος, τὰ ὕψη τῶν περιεχόντων τριγώνων τὴν 
1.21.3	πυραμίδα ἴσα ἐστὶν ἀλλήλοις. Καὶ βάσιν μὲν ἔχει τὰ 
1.21.4	τρίγωνα τὰς ΑΒ, ΒΓ, ΓΑ, ὕψος δὲ τὸ εἰρημένον· ὥστε τὰ 
1.21.5	τρίγωνα ἴσα ἐστὶ τριγώνῳ βάσιν μὲν ἔχοντι τὴν ἴσην 
1.21.6	ταῖς ΑΒ, ΒΓ, ΓΑ, ὕψος δὲ τὴν εἰρημένην εὐθεῖαν [τουτέστιν 
1.21.7	ἡ ἐπιφάνεια τῆς πυραμίδος χωρὶς τοῦ ΑΒΓ τριγώνου]. 
1.21.8t	{[Σαφέστερον ἄλλως ἡ δεῖξις.} 
1.21.9	  Ἔστω κῶνος ἰσοσκελής, οὗ βάσις μὲν ὁ ΑΒΓ κύκλος, 
1.21.10	κορυφὴ δὲ τὸ Δ σημεῖον, καὶ ἐγγεγράφθω εἰς τὸν κῶνον 
1.21.11	πυραμὶς βάσιν [μὲν] ἔχουσα ἰσόπλευρον τρίγωνον τὸ ΑΒΓ, 
1.21.12	καὶ ἐπεζεύχθωσαν αἱ ΔΑ, ΔΓ, ΔΒ· λέγω ὅτι τὰ ΑΔΒ, 
1.21.13	ΑΔΓ, ΒΔΓ τρίγωνα ἴσα ἐστὶ τριγώνῳ, οὗ ἡ μὲν βάσις ἴση 
1.21.14	ἐστὶ τῇ περιμέτρῳ τοῦ ΑΒΓ τριγώνου, ἡ δὲ ἀπὸ τῆς κορυφῆς 
1.21.15	ἐπὶ τὴν βάσιν κάθετος ἴση τῇ καθέτῳ τῇ ἀπὸ τοῦ Δ ἐπὶ 
1.21.16	τὴν ΒΓ ἀγομένῃ. 
1.21.17	  Ἤχθωσαν γὰρ κάθετοι αἱ ΔΚ, ΔΛ, ΔΜ· αὗται ἄρα ἴσαι 
1.21.18	ἀλλήλαις εἰσίν. Καὶ κείσθω τρίγωνον τὸ ΕΖΗ ἔχον τὴν μὲν 
1.21.19	ΕΖ βάσιν τῇ περιμέτρῳ τοῦ ΑΒΓ τριγώνου ἴσην, τὴν δὲ  
1.22.1	ΗΘ κάθετον τῇ ΔΛ ἴσην. Ἐπεὶ οὖν τὸ ὑπὸ τῶν ΒΓ, ΔΛ 
1.22.2	διπλάσιόν ἐστι τοῦ ΔΒΓ τριγώνου, ἔστιν δὲ καὶ τὸ μὲν  
1.22.3	ὑπὸ τῶν ΑΒ, ΔΚ διπλάσιον τοῦ ΑΒΔ τριγώνου, τὸ δὲ 
1.22.4	ὑπὸ ΑΓ, ΔΜ διπλάσιον τοῦ ΑΔΓ τριγώνου, τὸ ἄρα ὑπὸ 
1.22.5	τῆς περιμέτρου τοῦ ΑΒΓ τριγώνου, τουτέστι τῆς ΕΖ, καὶ 
1.22.6	τῆς ΔΛ, τουτέστι τῆς ΗΘ, διπλάσιόν ἐστι τῶν ΑΔΒ, ΒΔΓ, 
1.22.7	ΑΔΓ τριγώνων. Ἔστι δὲ καὶ τὸ ὑπὸ ΕΖ, ΗΘ διπλάσιον 
1.22.8	τοῦ ΕΖΗ τριγώνου· ἴσον ἄρα τὸ ΕΖΗ τρίγωνον τοῖς 
1.22.9	ΑΔΒ, ΒΔΓ, ΑΔΓ τριγώνοις]. 
1.22.10	    ηʹ. 
1.22.10	  Ἐὰν περὶ κῶνον ἰσοσκελῆ πυραμὶς περιγραφῇ, ἡ 
1.22.11	ἐπιφάνεια τῆς πυραμίδος χωρὶς τῆς βάσεως ἴση ἐστὶν  
1.23.1	τριγώνῳ βάσιν μὲν ἔχοντι τὴν ἴσην τῇ περιμέτρῳ τῆς 
1.23.2	βάσεως, ὕψος δὲ τὴν πλευρὰν τοῦ κώνου. 
1.23.3	  Ἔστω κῶνος, οὗ βάσις ὁ ΑΒΓ κύκλος, καὶ πυραμὶς 
1.23.4	περιγεγράφθω, ὥστε τὴν βάσιν αὐτῆς, τουτέστι τὸ ΔΕΖ 
1.23.5	πολύγωνον, περιγεγραμμένον περὶ τὸν ΑΒΓ κύκλον εἶναι· 
1.23.6	λέγω ὅτι ἡ ἐπιφάνεια τῆς πυραμίδος χωρὶς τῆς βάσεως 
1.23.7	ἴση ἐστὶ τῷ εἰρημένῳ τριγώνῳ. 
1.23.8	  Ἐπεὶ γὰρ [ὁ ἄξων τοῦ κώνου ὀρθός ἐστι πρὸς τὴν 
1.23.9	βάσιν, τουτέστι πρὸς τὸν ΑΒΓ κύκλον, καὶ] αἱ ἀπὸ τοῦ 
1.23.10	κέντρου τοῦ κύκλου ἐπὶ τὰς ἁφὰς ἐπιζευγνύμεναι εὐθεῖαι 
1.23.11	κάθετοί εἰσιν ἐπὶ τὰς ἐφαπτομένας, ἔσονται ἄρα καὶ αἱ 
1.23.12	ἀπὸ τῆς κορυφῆς τοῦ κώνου ἐπὶ τὰς ἁφὰς ἐπιζευγνύμεναι 
1.23.13	κάθετοι ἐπὶ τὰς ΔΕ, ΖΕ, ΖΔ. Αἱ ΗΑ, ΗΒ, ΗΓ ἄρα αἱ εἰρη- 
1.24.1	μέναι κάθετοι ἴσαι εἰσὶν ἀλλήλαις· πλευραὶ γάρ εἰσιν τοῦ 
1.24.2	κώνου. Κείσθω δὴ τὸ τρίγωνον τὸ ΘΚΛ ἴσην ἔχον τὴν μὲν 
1.24.3	ΘΚ τῇ περιμέτρῳ τοῦ ΔΕΖ τριγώνου, τὴν δὲ ΛΜ κάθετον 
1.24.4	ἴσην τῇ ΗΑ. Ἐπεὶ οὖν τὸ μὲν ὑπὸ ΔΕ, ΑΗ διπλάσιόν ἐστι 
1.24.5	τοῦ ΕΔΗ τριγώνου, τὸ δὲ ὑπὸ ΔΖ, ΗΒ διπλάσιόν ἐστι τοῦ 
1.24.6	ΔΖΗ τριγώνου, τὸ δὲ ὑπὸ ΕΖ, ΓΗ διπλάσιόν ἐστιν τοῦ 
1.24.7	ΕΗΖ τριγώνου, ἔστιν ἄρα τὸ ὑπὸ τῆς ΘΚ καὶ τῆς ΑΗ, 
1.24.8	τουτέστι τῆς ΜΛ, διπλάσιον τῶν ΕΔΗ, ΖΔΗ, ΕΗΖ τριγώ-
1.24.9	νων. Ἔστιν δὲ καὶ τὸ ὑπὸ τῶν ΘΚ, ΛΜ διπλάσιον τοῦ 
1.24.10	ΛΚΘ τριγώνου· διὰ τοῦτο δὴ ἴση ἐστὶν ἡ ἐπιφάνεια τῆς 
1.24.11	πυραμίδος χωρὶς τῆς βάσεως τριγώνῳ βάσιν μὲν ἔχοντι 
1.24.12	ἴσην τῇ περιμέτρῳ τοῦ ΔΕΖ, ὕψος δὲ τὴν πλευρὰν τοῦ 
1.24.13	κώνου. 
1.24.14	    θʹ. 
1.24.15	  Ἐὰν κώνου τινὸς ἰσοπλεύρου εἰς τὸν κύκλον, ὅς ἐστι 
1.24.16	βάσις τοῦ κώνου, εὐθεῖα γραμμὴ ἐμπέσῃ, ἀπὸ δὲ τῶν 
1.24.17	περάτων αὐτῆς εὐθεῖαι γραμμαὶ ἀχθῶσιν ἐπὶ τὴν κορυφὴν 
1.24.18	τοῦ κώνου, τὸ περιληφθὲν τρίγωνον ὑπό τε τῆς ἐμπεσούσης 
1.24.19	καὶ τῶν ἐπιζευχθεισῶν ἐπὶ τὴν κορυφὴν ἔλασσον ἔσται τῆς 
1.24.20	ἐπιφανείας τοῦ κώνου τῆς μεταξὺ τῶν ἐπὶ τὴν κορυφὴν 
1.24.21	ἐπιζευχθεισῶν. 
1.24.22	  Ἔστω κώνου ἰσοσκελοῦς βάσις ὁ ΑΒΓ κύκλος, κορυφὴ 
1.24.23	δὲ τὸ Δ, καὶ διήχθω τις εἰς αὐτὸν εὐθεῖα ἡ ΑΓ, καὶ ἀπὸ 
1.24.24	τῆς κορυφῆς ἐπὶ τὰ Α, Γ ἐπεζεύχθωσαν αἱ ΑΔ, ΔΓ· λέγω 
1.24.25	ὅτι τὸ ΑΔΓ τρίγωνον ἔλασσόν ἐστιν τῆς ἐπιφανείας τῆς 
1.24.26	κωνικῆς τῆς μεταξὺ τῶν ΑΔΓ.  
1.25.1	   Τετμήσθω ἡ ΑΒΓ περιφέρεια δίχα κατὰ τὸ Β, καὶ 
1.25.2	ἐπεζεύχθωσαν αἱ ΑΒ, ΓΒ, ΔΒ· ἔσται δὴ τὰ ΑΒΔ, ΒΓΔ 
1.25.3	τρίγωνα μείζονα τοῦ ΑΔΓ τριγώνου. Ὧι δὴ ὑπερέχει τὰ 
1.25.4	εἰρημένα τρίγωνα τοῦ ΑΔΓ τριγώνου, ἔστω τὸ Θ. Τὸ δὴ 
1.25.5	Θ ἤτοι τῶν ΑΒ, ΒΓ τμημάτων ἔλασσόν ἐστι ἢ οὔ. 
1.25.6	  Ἔστω μὴ ἔλασσον πρότερον. Ἐπεὶ οὖν δύο εἰσὶν 
1.25.7	ἐπιφάνειαι ἥ τε κωνικὴ ἡ μεταξὺ τῶν ΑΔΒ μετὰ τοῦ 
1.25.8	ΑΕΒ τμήματος καὶ ἡ τοῦ ΑΔΒ τριγώνου τὸ αὐτὸ πέρας 
1.25.9	ἔχουσαι τὴν περίμετρον τοῦ τριγώνου τοῦ ΑΔΒ, μείζων 
1.25.10	ἔσται ἡ περιλαμβάνουσα τῆς περιλαμβανομένης· μείζων 
1.25.11	ἄρα ἐστὶν ἡ κωνικὴ ἐπιφάνεια ἡ μεταξὺ τῶν ΑΔΒ μετὰ 
1.25.12	τοῦ ΑΕΒ τμήματος τοῦ ΑΒΔ τριγώνου. Ὁμοίως δὲ καὶ ἡ 
1.25.13	μεταξὺ τῶν ΒΔΓ μετὰ τοῦ ΓΖΒ τμήματος μείζων ἐστὶν 
1.25.14	τοῦ ΒΔΓ τριγώνου· ὅλη ἄρα ἡ κωνικὴ ἐπιφάνεια μετὰ 
1.25.15	τοῦ Θ χωρίου μείζων ἐστὶ τῶν εἰρημένων τριγώνων. Τὰ δὲ 
1.25.16	εἰρημένα τρίγωνα ἴσα ἐστὶν τῷ τε ΑΔΓ τριγώνῳ καὶ τῷ 
1.25.17	Θ χωρίῳ. Κοινὸν ἀφῃρήσθω τὸ Θ χωρίον· λοιπὴ ἄρα ἡ  
1.26.1	κωνικὴ ἐπιφάνεια ἡ μεταξὺ τῶν ΑΔΓ μείζων ἐστὶν τοῦ 
1.26.2	ΑΔΓ τριγώνου. 
1.26.3	  Ἔστω δὴ τὸ Θ ἔλασσον τῶν ΑΒ, ΒΓ τμημάτων. Τέμνοντες 
1.26.4	δὴ τὰς ΑΒ, ΒΓ περιφερείας δίχα καὶ τὰς ἡμισείας αὐτῶν 
1.26.5	δίχα λείψομεν τμήματα ἐλάσσονα ὄντα τοῦ Θ χωρίου. 
1.26.6	Λελείφθω τὰ ἐπὶ τῶν ΑΕ, ΕΒ, ΒΖ, ΖΓ εὐθειῶν, καὶ ἐπεζεύχ-
1.26.7	θωσαν αἱ ΔΕ, ΔΖ. Πάλιν τοίνυν κατὰ τὰ αὐτὰ ἡ μὲν 
1.26.8	ἐπιφάνεια τοῦ κώνου ἡ μεταξὺ τῶν ΑΔΕ μετὰ τοῦ ἐπὶ 
1.26.9	τῆς ΑΕ τμήματος μείζων ἐστὶν τοῦ ΑΔΕ τριγώνου, ἡ δὲ 
1.26.10	μεταξὺ τῶν ΕΔΒ μετὰ τοῦ ἐπὶ τῆς ΕΒ τμήματος μείζων 
1.26.11	ἐστὶν τοῦ ΕΔΒ τριγώνου· ἡ ἄρα ἐπιφάνεια ἡ μεταξὺ τῶν 
1.26.12	ΑΔΒ μετὰ τῶν ἐπὶ τῶν ΑΕ, ΕΒ τμημάτων μείζων ἐστὶν 
1.26.13	τῶν ΑΔΕ, ΕΒΔ τριγώνων. Ἐπεὶ δὲ τὰ ΑΕΔ, ΔΕΒ τρίγωνα 
1.26.14	μείζονά ἐστιν τοῦ ΑΒΔ τριγώνου, καθὼς δέδεικται, πολλῷ 
1.26.15	ἄρα ἡ ἐπιφάνεια τοῦ κώνου ἡ μεταξὺ τῶν ΑΔΒ μετὰ τῶν 
1.26.16	ἐπὶ τῶν ΑΕ, ΕΒ τμημάτων μείζων ἐστὶ τοῦ ΑΔΒ τριγώνου. 
1.26.17	Διὰ τὰ αὐτὰ δὴ καὶ ἡ ἐπιφάνεια ἡ μεταξὺ τῶν ΒΔΓ μετὰ 
1.26.18	τῶν ἐπὶ τῶν ΒΖ, ΖΓ τμημάτων μείζων ἐστὶν τοῦ ΒΔΓ 
1.26.19	τριγώνου· ὅλη ἄρα ἡ ἐπιφάνεια ἡ μεταξὺ τῶν ΑΔΓ μετὰ 
1.26.20	τῶν εἰρημένων τμημάτων μείζων ἐστὶ τῶν ΑΒΔ, ΔΒΓ τρι-
1.26.21	γώνων. Ταῦτα δέ ἐστιν ἴσα τῷ ΑΔΓ τριγώνῳ καὶ τῷ Θ 
1.26.22	χωρίῳ· ὧν τὰ εἰρημένα τμήματα ἐλάσσονα τοῦ Θ χωρίου· 
1.26.23	λοιπὴ ἄρα ἡ ἐπιφάνεια ἡ μεταξὺ τῶν ΑΔΓ μείζων ἐστὶν 
1.26.24	τοῦ ΑΔΓ τριγώνου. 
1.26.25	    ιʹ. 
1.26.26	  Ἐὰν ἐπιψαύουσαι ἀχθῶσιν τοῦ κύκλου, ὅς ἐστι βάσις 
1.26.27	τοῦ κώνου, ἐν τῷ αὐτῷ ἐπιπέδῳ οὖσαι τῷ κύκλῳ καὶ  
1.27.1	συμπίπτουσαι ἀλλήλαις, ἀπὸ δὲ τῶν ἁφῶν καὶ τῆς συμπτώ-
1.27.2	σεως ἐπὶ τὴν κορυφὴν τοῦ κώνου εὐθεῖαι ἀχθῶσιν, τὰ 
1.27.3	περιεχόμενα τρίγωνα ὑπὸ τῶν ἐπιψαυουσῶν καὶ τῶν ἐπὶ 
1.27.4	τὴν κορυφὴν τοῦ κώνου ἐπιζευχθεισῶν εὐθειῶν μείζονά 
1.27.5	ἐστιν τῆς τοῦ κώνου ἐπιφανείας τῆς ἀπολαμβανομένης 
1.27.6	ὑπ' αὐτῶν. 
1.27.7	  Ἔστω κῶνος οὗ βάσις μὲν ὁ ΑΒΓ κύκλος, κορυφὴ δὲ 
1.27.8	τὸ Ε σημεῖον, καὶ τοῦ ΑΒΓ κύκλου ἐφαπτόμεναι ἤχθωσαν 
1.27.9	ἐν τῷ αὐτῷ ἐπιπέδῳ οὖσαι αἱ ΑΔ, ΓΔ, καὶ ἀπὸ τοῦ Ε 
1.27.10	σημείου, ὅ ἐστιν κορυφὴ τοῦ κώνου, ἐπὶ τὰ Α, Δ, Γ ἐπεζεύ-
1.27.11	χθωσαν αἱ ΕΑ, ΕΔ, ΕΓ· λέγω ὅτι τὰ ΑΔΕ, ΔΕΓ τρίγωνα 
1.27.12	μείζονά ἐστι τῆς κωνικῆς ἐπιφανείας τῆς μεταξὺ τῶν ΑΕ, 
1.27.13	ΓΕ εὐθειῶν καὶ τῆς ΑΒΓ περιφερείας. 
1.27.14	  Ἤχθω γὰρ ἡ ΗΒΖ ἐφαπτομένη τοῦ κύκλου καὶ παράλ-
1.27.15	ληλος οὖσα τῇ ΑΓ δίχα τμηθείσης τῆς ΑΒΓ περιφερείας 
1.27.16	κατὰ τὸ Β, καὶ ἀπὸ τῶν Η, Ζ ἐπὶ τὸ Ε ἐπεζεύχθωσαν αἱ 
1.27.17	ΗΕ, ΖΕ. Καὶ ἐπεὶ μείζους εἰσὶν αἱ ΗΔ, ΔΖ τῆς ΗΖ, κοιναὶ 
1.27.18	προσκείσθωσαν αἱ ΗΑ, ΖΓ· ὅλαι ἄρα αἱ ΑΔ, ΔΓ μείζους 
1.27.19	εἰσὶν τῶν ΑΗ, ΗΖ, ΖΓ. Καὶ ἐπεὶ αἱ ΑΕ, ΕΒ, ΕΓ πλευραί 
1.27.20	εἰσιν τοῦ κώνου, ἴσαι εἰσὶν διὰ τὸ ἰσοσκελῆ εἶναι τὸν 
1.27.21	κῶνον· ὁμοίως δὲ καὶ κάθετοί εἰσιν [ὡς ἐδείχθη ἐν τῷ 
1.27.22	λήμματι, τὰ δὲ ὑπὸ τῶν καθέτων καὶ τῶν βάσεων διπλασίονά 
1.27.23	ἐστιν τῶν τριγώνων]· μείζονα ἄρα ἐστὶ τὰ ΑΕΔ, ΔΕΓ 
1.27.24	τρίγωνα τῶν ΑΗΕ, ΗΕΖ, ΖΕΓ τριγώνων [εἰσὶν γὰρ αἱ μὲν 
1.27.25	ΑΗ, ΗΖ, ΖΓ ἐλάσσους τῶν ΓΔ, ΔΑ, τὰ δὲ ὕψη αὐτῶν ἴσα] 
1.27.26	[φανερὸν γὰρ ὅτι ἡ ἀπὸ τῆς κορυφῆς τοῦ ὀρθοῦ κώνου 
1.27.27	ἐπὶ τὴν ἐφαπὴν τῆς βάσεως ἐπιζευγνυμένη κάθετός ἐστιν 
1.27.28	ἐπὶ τὴν ἐφαπτομένην]. Ὧι δὴ μείζονά ἐστιν τὰ ΑΕΔ, 
1.27.29	ΔΓΕ τρίγωνα τῶν ΑΕΗ, ΗΕΖ, ΖΕΓ τριγώνων, ἔστω τὸ Θ  
1.28.1	χωρίον. Τὸ δὴ Θ χωρίον ἤτοι ἔλαττόν ἐστιν τῶν ΑΗΒΚ, 
1.28.2	ΒΖΓΛ ἀποτμημάτων ἢ οὐκ ἔλαττον.  
1.28.3	  Ἔστω πρότερον μὴ ἔλαττον. Ἐπεὶ οὖν εἰσιν ἐπιφάνειαι 
1.28.4	σύνθετοι, ἥ τε τῆς πυραμίδος τῆς ἐπὶ βάσεως τοῦ ΗΑΓΖ 
1.28.5	τραπεζίου κορυφὴν ἔχουσα τὸ Ε καὶ ἡ κωνικὴ ἐπιφάνεια 
1.28.6	ἡ μεταξὺ τῶν ΑΕΓ μετὰ τοῦ ΑΒΓ τμήματος, καὶ πέρας 
